_id,cpu_type,cpu_name,cpu_socket,compatible_chipsets,int_graphics,semiconductor_size,cpu_tdp,pcie,transistors,cpu_threads,total_clock_speed,turbo,unlocked_multiplier,l2_cache,l3_cache,l1_cache,clock_multiplier,passmark,passmark_s,cinebench_r20_multi,cinebench_r20_single,geekbench6_multi,geekbench6_single,gpu_name,gpu_turbo,opengl_version,opencl_version,ram_speed_max,max_mem_bandwidth,ddr_version,mem_channels,max_mem_size,mem_eec,directx_version
67d4fd4593079e4598e73630,desktop,AMD Ryzen Threadripper Pro 7995WX,,,FALSE,5,350,5,78840,192,96 x 2.5,5.1,TRUE,96,384,6000,25,153598,3960,,,,,,,,,5200,,5,8,2000,TRUE,
67d4fd4593079e4598e73631,desktop,AMD Ryzen Threadripper 7980X,,,FALSE,5,350,5,,128,64 x 3.2,5.1,TRUE,64,256,4096,32,133902,3960,36982,742,,,,,,,5200,,5,4,1000,TRUE,
67d4fd4693079e4598e73633,desktop,AMD Ryzen Threadripper Pro 7985WX,,,FALSE,5,350,5,,128,64 x 3.2,5.1,TRUE,1,256,64,32,133194,3890,,,,,,,,,2600,,5,8,2000,TRUE,
67d4fd4693079e4598e73644,desktop,AMD Ryzen Threadripper 7970X,,,FALSE,5,350,5,,64,32 x 4,5.3,TRUE,32,128,2048,40,98654,4140,25421,773,,,,,,,5200,,5,4,1000,TRUE,
67d4fd4693079e4598e73638,desktop,AMD Ryzen Threadripper Pro 7975WX,,,FALSE,5,350,5,,64,32 x 4,5.3,TRUE,32,128,2000,40,95664,4064,,,,,,,,,5200,,5,8,2000,TRUE,
67d4fd4693079e4598e7363a,desktop,AMD Ryzen Threadripper Pro 5995WX,,,FALSE,7,280,4,33200,128,64 x 2.7,4.5,TRUE,32,256,4096,27,93192,3207,25297,585,16238,1963,,,,,3200,204.8,4,8,2000,TRUE,
67d4fd4693079e4598e73678,desktop,AMD Ryzen Threadripper Pro 3995WX,,,FALSE,7,280,4,30400,128,64 x 2.7,4.2,FALSE,32,256,4096,,83697,2598,24463,477,14040,1599,,,,,3200,204.8,4,8,2000,TRUE,
67d4fd4693079e4598e73670,desktop,AMD Ryzen Threadripper 7960X,,,FALSE,5,350,5,,48,24 x 4.2,5.3,TRUE,24,128,1536,40,83424,4111,,,,,,,,,5200,,5,4,1000,TRUE,
67d4fd4693079e4598e7363c,desktop,AMD Ryzen Threadripper Pro 7965WX,,,FALSE,5,350,5,,48,24 x 4.2,5.3,TRUE,24,128,1500,42,80713,3937,,,,,,,,,5200,,5,8,2000,TRUE,
67d4fd4693079e4598e73649,desktop,AMD Ryzen Threadripper 3990X,strx4,,FALSE,7,280,4,39500,128,64 x 2.9,4.3,TRUE,32,256,4096,29,80659,2565,24763,495,14186,1622,,,,,3200,95.37,4,4,512,TRUE,
67d4fd4693079e4598e7370a,desktop,AMD Ryzen Threadripper Pro 5975WX,,,FALSE,7,280,4,16600,64,32 x 3.6,4.5,FALSE,16,128,2000,36,75654,3315,20892,585,16736,2053,,,,,3200,,4,8,,TRUE,
67d4fd4693079e4598e7375f,desktop,AMD Ryzen Threadripper Pro 5965WX,,,FALSE,7,280,4,,48,24 x 3.8,4.5,FALSE,12,128,1500,38,66680,3359,,585,15085,2051,,,,,3200,,4,8,,TRUE,
67d4fd4693079e4598e736a2,desktop,AMD Ryzen 9 9950X,am5,x670 b650,TRUE,4,170,5,16630,32,16 x 4.3,5.7,TRUE,16,64,1280,43,66363,4733,,,,,,2200,,,5600,,5,2,192,TRUE,
67d4fd4693079e4598e736ec,desktop,AMD Ryzen Threadripper 3970X,strx4,,FALSE,7,280,4,,64,32 x 3.7,4.5,TRUE,16,128,3000,,63140,2665,17105,509,13789,1661,,,,,3200,95.37,4,4,256,TRUE,
